Uniq Id,Crawl Timestamp,Job Title,Job Salary,Job Experience Required,Key Skills,Role Category,Location,Functional Area,Industry,Role
2298493ac06a4fa8bb985d68e0b11b1e,2019-08-04 15:53:16 +0000, Senior System Engineer, Not Disclosed by Recruiter ,5 - 8 yrs, Azure| Networking| Windows Server| Powershell| DNS| SQL Server| Office 365| Active Directory| Firewall,Programming & Design,Chennai,IT Software - System Programming,"IT-Software, Software Services",System Analyst
f8d8adc1cb47fa7ef1af3dcebf781381,2019-08-05 17:19:14 +0000, Senior Web Designer, Not Disclosed by Recruiter ,3 - 8 yrs, assembly language| website| Senior Web Designer| C| HTML| ajax| javascript| jquery| SQL| xhtml| Six Sigma| PMP| xml| linux| .NET| Oracle| Python,Programming & Design,Noida,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Graphic/Web Designer
0cdee14f8edc5043a1b994319933de8c,2019-08-05 13:26:28 +0000, SEO, Not Disclosed by Recruiter ,3 - 5 yrs, analytics| ppc| development| cms| html| seo| ms office,Admin/Maintenance/Security/Datawarehousing,Gurgaon,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Webmaster
8d551a53eb49154e21989247ba904f33,2019-07-05 23:08:28 +0000, SEO, Not Disclosed by Recruiter ,2 - 6 yrs, analytics| webmaster| adwords| methods| english| seo| internet marketing| tool,Admin/Maintenance/Security/Datawarehousing,Pune,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Webmaster
1190edb4cfaf553e6257947bf79ee523,2019-08-05 14:41:57 +0000, SEO, Not Disclosed by Recruiter ,2 - 5 yrs, Bookmarking| RSS| Web development| Javascript| Tools| Keyword research| HTML| Link building| SEO| Analytics,Admin/Maintenance/Security/Datawarehousing,Gurgaon,"IT Software - eCommerce , Internet Technologies","Media, Entertainment, Internet",Webmaster
91dd293139283c94e169584ac72d8a68,2019-08-04 16:14:01 +0000, SEO Executive, Not Disclosed by Recruiter ,1 - 3 yrs, Analytical| SEO| Digital marketing| Team leading| website| Google Analytics| Project leading| level| Google Webmaster tools| tools| research| analytics| SEM| Link building| support,Programming & Design,Ahmedabad,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Software Developer
d57d942ee2562eea9606029cb122aa4e,2019-07-07 03:28:14 +0000, SEO Expert, Not Disclosed by Recruiter ,1 - 3 yrs, analytics| seo| ppc| link building| smo| inter| google| off page optimization| communication skills| article submissions,Admin/Maintenance/Security/Datawarehousing,"Delhi,Delhi NCR","IT Software - eCommerce , Internet Technologies","Internet, Ecommerce",Webmaster
85d8c5c650937da628ed4b9621e5fc94,2019-07-06 10:19:09 +0000, Seo Manager, Not Disclosed by Recruiter ,1 - 3 yrs, assembly language| Six Sigma| JavaScript| .NET| HTML| Oracle| Python| SQL,Other,Pune,"IT Software - eCommerce , Internet Technologies","Education, Teaching, Training",Trainee
e0d4dee9d3ba0a81395447a0506054bc,2019-08-04 01:57:38 +0000, SEO Manager, Not Disclosed by Recruiter ,3 - 8 yrs, blogs| off - page optimization| seo| SEO Manager| on - page optimization,Online/Digital Marketing,Kolkata,"Marketing , Advertising , MR , PR , Media Planning","Education, Teaching, Training",Search Engine Optimisation /SEO Specialist
6aafef29023381b6c1c6a6fafc36d3d2,2019-08-05 17:27:37 +0000, SEO Specialist, Not Disclosed by Recruiter ,2 - 5 yrs, Analytical skills| Google Analytics| Time management| content marketing| SEO| Search engine optimization,Other,Pune,"IT Software - eCommerce , Internet Technologies","Advertising, PR, MR, Event Management",IT/Technical Content Developer
a961f6128ef8d11660f0ab43e8553950,2019-07-06 22:27:04 +0000, Service delivery Manager, Not Disclosed by Recruiter ,10 - 15 yrs, Automation| Change management| Managed services| Production support| Transition management| Problem management| Presales| Incident management| Release management| international clients,Project Management,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Project Manager-IT/Software
e5251a64def22ac5425326d4f9c0f144,2019-07-04 14:23:46 +0000, Service Engineer, Not Disclosed by Recruiter ,2 - 5 yrs, After Sales Service| Warranty Handling| Service Engineering| Maintenance| Customer Satisfaction,Production/Manufacturing/Maintenance,"Ahmedabad,Bhavnagar,Jamnagar,Surat","Production , Manufacturing , Maintenance","Automobile, Auto Anciliary, Auto Components",Service/Maintenance Engineer
d775671fbffd59686bc1b92a5806a1f5,2019-07-06 14:27:33 +0000, Service Manager, Not Disclosed by Recruiter ,10 - 15 yrs, Automobile,Production/Manufacturing/Maintenance,Pune,"Production , Manufacturing , Maintenance","Internet, Ecommerce",Service/Maintenance Engineer
9c56def6ee47c86108c2b924c4a28a6e,2019-08-04 13:43:18 +0000, Servicenow Developer, Not Disclosed by Recruiter ,4 - 6 yrs, Angularjs| Java| CSS| Servicenow| Html5| remedy developer| Remedy| Front End| Bmc Remedy| Javascript| Asset Management| Server Side,Programming & Design,Pune,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
514a352d11fbe626ca7d15d89c9f2831,2019-08-06 05:45:45 +0000, SFDC Developer, Not Disclosed by Recruiter ,2 - 3 yrs, Application support| Salesforce.com| Web services| Architecture| technical| configuration| Programming| developing| Management| it| SFDC| application| web| developer| Apex| support| Visualforce,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
dd7844d1373ea75b41d1616a0b6e182c,2019-08-06 07:45:03 +0000, Software Architect, Not Disclosed by Recruiter ,15 - 18 yrs, Automation| Linux| Windows| Bss| Agile| XSLT| Application development| Open source| Ruby| Python,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Technical Architect
3d6a024da365c8c8ed6fdd72d390629e,2019-08-04 20:47:26 +0000, Software Automation Test Engineer, Not Disclosed by Recruiter ,3 - 4 yrs, automation framework| Automation testing| Manual testing| Analytical| Agile| Selenium| Test cases| Troubleshooting| SDLC| Python,Programming & Design,"Ahmedabad,Bengaluru",IT Software - QA & Testing,"IT-Software, Software Services",Testing Engineer
1005bf81b430296957d5481303f76597,2019-08-05 22:49:30 +0000, Software Developer, Not Disclosed by Recruiter ,2 - 5 yrs, activex| software development| sql| net asp net| software| com dcom| vb net| developing| software developer| programming| asp net,Programming & Design,Mumbai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
058f70b0e14c93859d4f033149287ff9,2019-08-05 18:57:17 +0000, Software Developer, Not Disclosed by Recruiter ,2 - 6 yrs, Analytical skills| SQL queries| Hibernate| Core Java| Spring mvc| MVC framework| Eclipse| Struts| J2Ee| EJB,Programming & Design,Chennai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
170f781e5d13709df81ed5e037941430,2019-08-06 01:33:07 +0000, Software Developer, Not Disclosed by Recruiter ,2 - 4 yrs, Analytical| CMS| Application development| Drupal| Translation| Version control| development testing| nginx| Deployment| Apache,Programming & Design,Mumbai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
3737a4836ddeeefcd13120ab25bfe44a,2019-07-04 09:27:54 +0000, Software Developer," 3,00,000 - 6,00,000 PA. ",2 - 5 yrs, .Net| ASP.Net| c#| Oracle ERP| Oracle E - Business Suite| SQL Server,Programming & Design,"Gurgaon,Greater Noida","IT Software - Application Programming , Maintenance","Telcom, ISP",Software Developer
d32a71d46b8d5447d789b475966f99b9,2019-07-06 15:28:52 +0000, Software Developer, Not Disclosed by Recruiter ,2 - 5 yrs, assembly language| Six Sigma| PMP| JavaScript| .NET| HTML| Oracle| Python| SQL,Programming & Design,Mumbai,"IT Software - Application Programming , Maintenance","Banking, Financial Services, Broking",Software Developer
